Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
7,tree,3,84,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,4,168,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
7,tree,5,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,6,216,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,tree,7,167,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,tree,8,83,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,tree,9,146,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,10,84,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,11,176,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,12,102,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,13,135,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,14,101,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,15,167,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,16,566,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,17,217,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,18,333,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,19,383,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,20,417,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,tree,21,250,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,22,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
7,tree,23,167,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
7,tree,24,157,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,1,83,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,2,84,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,3,83,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
8,tree,4,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,5,117,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,6,150,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
8,tree,7,117,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,8,83,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,9,250,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
8,tree,10,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,11,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,12,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
8,tree,13,117,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
